activity_id,customer_id,activity_date,activity_type,points_change,running_balance,tier_after,channel
LOY000056,CUST0010,2023-09-20,earn_bonus,958,3120,Bronze,Agent
LOY000057,CUST0010,2024-05-04,earn_flight,1566,4686,Bronze,Agent
LOY000058,CUST0010,2024-04-11,earn_flight,368,5054,Bronze,Agent
LOY000059,CUST0010,2024-11-21,earn_flight,1639,6693,Bronze,App
LOY000060,CUST0010,2023-08-20,earn_flight,1253,7946,Bronze,App
LOY000061,CUST0011,2024-03-16,earn_bonus,371,447,Bronze,Agent
LOY000062,CUST0011,2023-10-20,redeem_voucher,-956,0,Bronze,Agent
LOY000063,CUST0011,2024-01-19,earn_flight,1212,1212,Bronze,Agent
LOY000064,CUST0011,2023-08-19,redeem_upgrade,-1335,0,Bronze,Agent
LOY000065,CUST0011,2023-11-25,redeem_voucher,-475,0,Bronze,Agent
LOY000066,CUST0011,2023-12-07,redeem_voucher,-1333,0,Bronze,Web
LOY000067,CUST0011,2024-05-15,earn_flight,531,531,Bronze,Agent
LOY000068,CUST0011,2024-03-06,redeem_upgrade,-740,0,Bronze,Kiosk
LOY000069,CUST0011,2024-04-24,redeem_voucher,-304,0,Bronze,App
LOY000070,CUST0011,2024-10-17,redeem_voucher,-290,0,Bronze,App
LOY000071,CUST0012,2024-05-05,earn_flight,1004,1346,Bronze,Kiosk
LOY000072,CUST0012,2023-08-20,earn_flight,1908,3254,Bronze,Web
LOY000073,CUST0012,2023-09-16,redeem_voucher,-1392,1862,Bronze,Web
LOY000074,CUST0012,2024-10-24,earn_flight,731,2593,Bronze,Agent
LOY000075,CUST0013,2024-03-13,redeem_upgrade,-410,0,Bronze,Agent
LOY000076,CUST0013,2024-09-30,tier_upgrade,0,0,Bronze,Web
LOY000077,CUST0013,2024-04-09,redeem_voucher,-562,0,Bronze,Kiosk
LOY000078,CUST0013,2023-09-05,earn_flight,1993,1993,Bronze,Agent
LOY000079,CUST0013,2024-10-05,redeem_voucher,-708,1285,Bronze,Agent
LOY000080,CUST0013,2024-01-21,redeem_upgrade,-421,864,Bronze,Kiosk
LOY000081,CUST0013,2023-09-19,redeem_voucher,-655,209,Bronze,Web
LOY000082,CUST0014,2024-06-18,redeem_voucher,-666,0,Bronze,Web
LOY000083,CUST0014,2023-09-04,redeem_upgrade,-1016,0,Bronze,Agent
LOY000084,CUST0014,2024-05-22,redeem_voucher,-771,0,Bronze,Agent
LOY000085,CUST0014,2025-01-13,earn_flight,1827,1827,Bronze,Agent
LOY000086,CUST0014,2023-09-08,earn_flight,634,2461,Bronze,Web
LOY000087,CUST0014,2024-05-08,earn_flight,1321,3782,Bronze,Kiosk
LOY000088,CUST0014,2024-07-29,redeem_upgrade,-842,2940,Bronze,Kiosk
LOY000089,CUST0015,2023-12-07,earn_flight,1280,1901,Bronze,Web
LOY000090,CUST0015,2024-04-27,earn_flight,993,2894,Bronze,App
LOY000091,CUST0015,2025-01-24,redeem_voucher,-1302,1592,Bronze,Web
LOY000092,CUST0015,2024-08-17,earn_flight,1460,3052,Bronze,Agent
LOY000093,CUST0015,2024-06-27,redeem_upgrade,-455,2597,Bronze,Agent
LOY000094,CUST0015,2025-01-11,earn_flight,936,3533,Bronze,Agent
LOY000095,CUST0015,2024-09-26,redeem_upgrade,-1335,2198,Bronze,Web
LOY000096,CUST0015,2024-02-23,earn_flight,876,3074,Bronze,Web
LOY000097,CUST0015,2024-06-14,earn_flight,1807,4881,Bronze,App
LOY000098,CUST0015,2024-06-17,earn_flight,980,5861,Bronze,Agent
LOY000099,CUST0016,2024-11-05,redeem_upgrade,-1246,0,Bronze,Kiosk
LOY000100,CUST0016,2024-01-31,redeem_upgrade,-781,0,Bronze,Agent
LOY000101,CUST0016,2023-11-14,redeem_voucher,-681,0,Bronze,Agent
LOY000102,CUST0016,2024-03-28,redeem_voucher,-501,0,Bronze,App
LOY000103,CUST0016,2023-09-27,earn_flight,1073,1073,Bronze,App
LOY000104,CUST0016,2024-11-19,earn_flight,1389,2462,Bronze,Web
LOY000105,CUST0016,2024-09-07,earn_flight,599,3061,Bronze,Web
LOY000106,CUST0016,2023-08-16,redeem_voucher,-418,2643,Bronze,Kiosk
LOY000107,CUST0016,2024-03-22,earn_flight,1525,4168,Bronze,Kiosk
LOY000108,CUST0017,2024-04-22,redeem_voucher,-448,2963,Gold,Kiosk
LOY000109,CUST0017,2023-12-25,redeem_voucher,-1287,1676,Gold,Agent
LOY000110,CUST0017,2024-11-06,earn_bonus,1573,3249,Gold,Kiosk
LOY000111,CUST0017,2024-11-09,redeem_voucher,-1172,2077,Gold,Kiosk
LOY000112,CUST0017,2024-05-02,redeem_upgrade,-767,1310,Gold,Kiosk
LOY000113,CUST0017,2024-04-11,earn_flight,258,1568,Gold,Agent
LOY000114,CUST0017,2024-04-07,earn_flight,754,2322,Gold,App
LOY000115,CUST0017,2023-12-30,earn_flight,884,3206,Gold,Web
LOY000116,CUST0017,2024-03-17,earn_flight,934,4140,Gold,Agent
LOY000117,CUST0017,2024-11-30,earn_flight,523,4663,Gold,Kiosk
LOY000118,CUST0018,2023-08-31,redeem_voucher,-1379,1016,Silver,Kiosk
LOY000119,CUST0018,2024-12-11,earn_flight,820,1836,Silver,Agent
LOY000120,CUST0018,2024-09-13,redeem_voucher,-1058,778,Silver,Web
LOY000121,CUST0018,2024-12-22,earn_flight,992,1770,Silver,Kiosk
LOY000122,CUST0018,2023-09-09,earn_flight,1469,3239,Silver,Kiosk
LOY000123,CUST0018,2024-01-27,redeem_voucher,-461,2778,Silver,App
LOY000124,CUST0018,2024-09-17,earn_bonus,1457,4235,Silver,App
LOY000125,CUST0018,2023-11-04,earn_bonus,377,4612,Silver,Kiosk
LOY000126,CUST0018,2024-02-13,earn_flight,876,5488,Silver,Agent
LOY000127,CUST0018,2024-03-14,earn_flight,791,6279,Silver,Kiosk
LOY000128,CUST0018,2024-05-21,redeem_upgrade,-1063,5216,Silver,Agent
LOY000129,CUST0019,2023-08-30,redeem_upgrade,-306,0,Bronze,Agent
LOY000130,CUST0019,2024-03-27,redeem_upgrade,-282,0,Bronze,App
LOY000131,CUST0019,2024-04-20,earn_flight,141,141,Bronze,Web
LOY000132,CUST0019,2024-04-11,earn_flight,1471,1612,Bronze,App
LOY000133,CUST0019,2024-03-21,earn_flight,624,2236,Bronze,Agent
LOY000134,CUST0019,2024-01-29,earn_bonus,1631,3867,Bronze,App
LOY000135,CUST0019,2024-01-25,tier_upgrade,0,3867,Bronze,App
LOY000136,CUST0019,2023-09-06,redeem_voucher,-1379,2488,Bronze,Kiosk
LOY000137,CUST0019,2024-09-20,redeem_voucher,-606,1882,Bronze,App
LOY000138,CUST0020,2024-04-15,earn_flight,1682,2289,Bronze,Agent
LOY000139,CUST0020,2023-12-12,redeem_upgrade,-1359,930,Bronze,App
LOY000140,CUST0020,2024-07-31,earn_bonus,1454,2384,Bronze,Agent
LOY000141,CUST0020,2023-10-20,earn_bonus,798,3182,Bronze,App
LOY000142,CUST0020,2024-10-14,redeem_voucher,-416,2766,Bronze,Kiosk
LOY000143,CUST0020,2024-08-15,earn_bonus,1797,4563,Bronze,Kiosk
LOY000144,CUST0020,2024-01-14,earn_flight,1602,6165,Bronze,Agent
LOY000145,CUST0020,2024-12-18,earn_flight,1791,7956,Bronze,Agent
LOY000146,CUST0020,2024-07-06,redeem_voucher,-377,7579,Bronze,Agent
LOY000147,CUST0020,2024-11-14,earn_flight,1051,8630,Bronze,Kiosk
LOY000148,CUST0020,2024-07-20,earn_flight,1842,10472,Bronze,Agent
LOY000149,CUST0020,2024-02-13,earn_flight,826,11298,Bronze,Agent
LOY000150,CUST0021,2024-05-19,earn_bonus,1158,1507,Bronze,Web
LOY000151,CUST0021,2023-11-06,earn_flight,932,2439,Bronze,Kiosk
LOY000152,CUST0021,2024-04-13,redeem_upgrade,-1205,1234,Bronze,Kiosk
LOY000153,CUST0021,2023-08-28,earn_flight,553,1787,Bronze,Kiosk
LOY000154,CUST0021,2024-04-16,earn_flight,1291,3078,Bronze,Agent
LOY000155,CUST0021,2024-12-07,earn_bonus,804,3882,Bronze,Kiosk
LOY000156,CUST0022,2024-08-05,redeem_upgrade,-754,6754,Gold,Agent
LOY000157,CUST0022,2024-04-24,earn_flight,1577,8331,Gold,Web
LOY000158,CUST0022,2024-06-29,earn_flight,1197,9528,Gold,Web
LOY000159,CUST0022,2024-02-23,earn_flight,1091,10619,Gold,Agent
LOY000160,CUST0022,2025-01-29,earn_bonus,305,10924,Gold,Web
LOY000161,CUST0022,2024-06-09,earn_flight,467,11391,Gold,Agent
LOY000162,CUST0022,2023-08-25,redeem_upgrade,-459,10932,Gold,Agent
LOY000163,CUST0023,2024-06-05,redeem_upgrade,-458,0,Bronze,Kiosk
LOY000164,CUST0023,2023-11-24,redeem_voucher,-1375,0,Bronze,Agent
LOY000165,CUST0024,2024-11-04,earn_flight,205,686,Bronze,Agent
LOY000166,CUST0024,2024-12-12,earn_flight,233,919,Bronze,Kiosk
LOY000167,CUST0024,2024-12-26,earn_flight,1389,2308,Bronze,App
LOY000168,CUST0024,2024-01-13,earn_flight,1252,3560,Bronze,Agent
LOY000169,CUST0024,2023-11-06,tier_upgrade,0,3560,Bronze,App
LOY000170,CUST0024,2024-10-10,earn_bonus,1719,5279,Bronze,Web
LOY000171,CUST0024,2025-01-27,earn_flight,1960,7239,Bronze,Kiosk
LOY000172,CUST0024,2024-06-10,redeem_voucher,-1078,6161,Bronze,Agent
LOY000173,CUST0024,2023-10-11,earn_bonus,1615,7776,Bronze,App
LOY000174,CUST0025,2024-03-14,earn_flight,266,1917,Silver,Web
LOY000175,CUST0025,2024-04-12,earn_flight,253,2170,Silver,Web
LOY000176,CUST0025,2023-08-13,earn_flight,1511,3681,Silver,Kiosk
LOY000177,CUST0025,2024-06-04,earn_flight,690,4371,Silver,Agent
LOY000178,CUST0025,2024-11-17,earn_flight,578,4949,Silver,Agent
LOY000179,CUST0025,2024-02-29,earn_flight,1215,6164,Silver,Web
LOY000180,CUST0025,2024-01-10,redeem_voucher,-491,5673,Silver,App
LOY000181,CUST0025,2023-10-11,earn_flight,729,6402,Silver,Agent
LOY000182,CUST0025,2024-11-02,earn_flight,1510,7912,Silver,Agent
LOY000183,CUST0025,2024-09-26,redeem_voucher,-1224,6688,Silver,Kiosk
LOY000184,CUST0025,2024-11-01,earn_flight,181,6869,Silver,Kiosk
LOY000185,CUST0025,2024-07-06,earn_bonus,152,7021,Silver,App
LOY000186,CUST0026,2023-09-01,tier_upgrade,0,235,Bronze,Agent
LOY000187,CUST0026,2023-09-21,redeem_upgrade,-558,0,Bronze,Kiosk
LOY000188,CUST0026,2025-01-23,redeem_upgrade,-769,0,Bronze,Web
LOY000189,CUST0026,2024-10-30,earn_bonus,1107,1107,Bronze,App
LOY000190,CUST0026,2024-12-04,earn_flight,782,1889,Bronze,Agent
LOY000191,CUST0026,2023-11-26,redeem_voucher,-875,1014,Bronze,Kiosk
LOY000192,CUST0026,2024-12-30,earn_flight,920,1934,Bronze,App
LOY000193,CUST0026,2024-11-18,earn_flight,616,2550,Bronze,Agent
LOY000194,CUST0026,2023-12-07,tier_upgrade,0,2550,Bronze,Kiosk
LOY000195,CUST0026,2025-01-18,redeem_voucher,-202,2348,Bronze,Kiosk
LOY000196,CUST0026,2024-10-07,earn_flight,1161,3509,Bronze,Agent
LOY000197,CUST0026,2025-01-02,earn_bonus,1656,5165,Bronze,App
LOY000198,CUST0027,2023-12-23,redeem_voucher,-1097,0,Bronze,Kiosk
LOY000199,CUST0027,2023-12-13,earn_flight,1390,1390,Bronze,Web
LOY000200,CUST0027,2024-01-20,earn_flight,128,1518,Bronze,Kiosk
LOY000201,CUST0027,2023-11-14,earn_flight,1823,3341,Bronze,App
LOY000202,CUST0027,2024-11-25,redeem_voucher,-515,2826,Bronze,Kiosk
LOY000203,CUST0027,2024-06-04,earn_bonus,659,3485,Bronze,Kiosk
LOY000204,CUST0028,2024-04-16,earn_flight,396,7348,Gold,Kiosk
LOY000205,CUST0028,2024-02-22,redeem_voucher,-1240,6108,Gold,Web
LOY000206,CUST0028,2023-10-21,earn_flight,1717,7825,Gold,Kiosk
LOY000207,CUST0028,2024-07-24,redeem_voucher,-1239,6586,Gold,Agent
LOY000208,CUST0028,2023-08-13,earn_flight,711,7297,Gold,Kiosk
LOY000209,CUST0028,2024-01-10,earn_flight,1091,8388,Gold,Agent
LOY000210,CUST0028,2024-07-16,earn_bonus,1212,9600,Gold,Kiosk
LOY000211,CUST0028,2024-11-19,redeem_voucher,-586,9014,Gold,Web
LOY000212,CUST0028,2024-09-06,earn_flight,1688,10702,Gold,Kiosk
LOY000213,CUST0029,2024-12-07,redeem_upgrade,-980,0,Bronze,Kiosk
LOY000214,CUST0029,2024-01-13,earn_flight,175,175,Bronze,Web
LOY000215,CUST0029,2025-01-06,tier_upgrade,0,175,Bronze,Agent
LOY000216,CUST0029,2023-11-21,redeem_voucher,-1101,0,Bronze,App
LOY000217,CUST0029,2025-01-30,redeem_voucher,-231,0,Bronze,Web
LOY000218,CUST0029,2024-10-03,redeem_voucher,-516,0,Bronze,App
LOY000219,CUST0029,2024-12-03,redeem_upgrade,-742,0,Bronze,Agent
LOY000220,CUST0030,2023-11-01,redeem_voucher,-1292,1136,Silver,Kiosk
LOY000221,CUST0030,2024-06-30,earn_bonus,1917,3053,Silver,Kiosk
LOY000222,CUST0030,2023-09-16,earn_bonus,580,3633,Silver,Agent
LOY000223,CUST0030,2024-03-30,redeem_upgrade,-1088,2545,Silver,App
LOY000224,CUST0030,2023-11-21,earn_flight,1521,4066,Silver,Agent
LOY000225,CUST0030,2023-09-09,earn_flight,1730,5796,Silver,App
LOY000226,CUST0030,2024-06-06,earn_flight,982,6778,Silver,Web
LOY000227,CUST0030,2024-04-17,earn_bonus,1259,8037,Silver,Web
LOY000228,CUST0030,2024-02-01,earn_flight,1348,9385,Silver,Kiosk
LOY000229,CUST0030,2024-04-13,earn_flight,1294,10679,Silver,Web
LOY000230,CUST0030,2024-04-04,earn_flight,620,11299,Silver,Kiosk
LOY000231,CUST0030,2024-04-28,redeem_upgrade,-1152,10147,Silver,Agent
LOY000232,CUST0031,2023-10-25,earn_flight,807,8284,Gold,Agent
LOY000233,CUST0031,2024-10-18,redeem_upgrade,-1135,7149,Gold,Agent
LOY000234,CUST0031,2024-03-01,tier_upgrade,0,7149,Gold,Kiosk
LOY000235,CUST0031,2023-11-28,earn_flight,1271,8420,Gold,Agent
LOY000236,CUST0032,2024-06-08,earn_flight,1799,2388,Bronze,Kiosk
LOY000237,CUST0032,2024-05-18,earn_flight,1871,4259,Bronze,App
LOY000238,CUST0032,2024-12-31,redeem_voucher,-786,3473,Bronze,Web
LOY000239,CUST0032,2024-08-05,earn_flight,489,3962,Bronze,Agent
LOY000240,CUST0032,2023-12-29,earn_bonus,1950,5912,Bronze,App
LOY000241,CUST0032,2024-06-22,redeem_upgrade,-268,5644,Bronze,Agent
LOY000242,CUST0033,2023-11-11,redeem_voucher,-869,0,Bronze,Kiosk
LOY000243,CUST0033,2024-02-06,earn_flight,1710,1710,Bronze,Agent
LOY000244,CUST0033,2025-01-05,redeem_voucher,-536,1174,Bronze,Agent
LOY000245,CUST0033,2024-12-16,tier_upgrade,0,1174,Bronze,Agent
LOY000246,CUST0034,2023-12-06,earn_flight,254,1019,Bronze,Web
LOY000247,CUST0034,2024-03-29,redeem_voucher,-1013,6,Bronze,Agent
LOY000248,CUST0034,2023-11-11,redeem_upgrade,-228,0,Bronze,Agent
LOY000249,CUST0034,2023-12-15,earn_flight,1477,1477,Bronze,Agent
LOY000250,CUST0034,2024-09-04,redeem_voucher,-960,517,Bronze,App
LOY000251,CUST0034,2024-04-06,earn_flight,1368,1885,Bronze,Agent
LOY000252,CUST0034,2024-03-24,earn_bonus,1401,3286,Bronze,Kiosk
LOY000253,CUST0035,2024-10-02,earn_flight,192,910,Bronze,App
LOY000254,CUST0035,2024-06-17,tier_upgrade,0,910,Bronze,App
LOY000255,CUST0035,2023-11-18,earn_flight,1200,2110,Bronze,Web
LOY000256,CUST0035,2024-09-11,earn_flight,1473,3583,Bronze,Kiosk
LOY000257,CUST0035,2024-01-16,redeem_voucher,-402,3181,Bronze,Kiosk
LOY000258,CUST0035,2024-10-01,redeem_voucher,-772,2409,Bronze,App
LOY000259,CUST0036,2024-03-20,earn_flight,583,1290,Bronze,Agent
LOY000260,CUST0036,2023-11-20,tier_upgrade,0,1290,Bronze,Agent
LOY000261,CUST0036,2024-08-12,earn_flight,665,1955,Bronze,Web
LOY000262,CUST0036,2023-12-14,redeem_voucher,-1131,824,Bronze,App
LOY000263,CUST0036,2024-03-15,earn_bonus,1322,2146,Bronze,App
LOY000264,CUST0036,2023-10-01,redeem_upgrade,-698,1448,Bronze,Web
LOY000265,CUST0036,2024-03-08,earn_flight,1667,3115,Bronze,Web
LOY000266,CUST0037,2024-04-05,earn_flight,402,1003,Bronze,App
LOY000267,CUST0037,2024-05-20,redeem_voucher,-496,507,Bronze,Web
LOY000268,CUST0037,2024-04-23,redeem_upgrade,-425,82,Bronze,App
LOY000269,CUST0037,2023-12-23,earn_flight,1717,1799,Bronze,Web
LOY000270,CUST0037,2024-07-07,earn_flight,643,2442,Bronze,App
LOY000271,CUST0038,2025-01-30,earn_flight,230,360,Bronze,Kiosk
LOY000272,CUST0038,2024-11-12,redeem_upgrade,-1251,0,Bronze,App
LOY000273,CUST0038,2024-11-15,earn_bonus,1359,1359,Bronze,App
LOY000274,CUST0038,2025-01-25,earn_flight,1417,2776,Bronze,App
LOY000275,CUST0038,2023-10-12,tier_upgrade,0,2776,Bronze,Kiosk
LOY000276,CUST0038,2024-10-20,redeem_upgrade,-1204,1572,Bronze,Kiosk
LOY000277,CUST0038,2023-10-25,redeem_voucher,-859,713,Bronze,Web
LOY000278,CUST0038,2023-10-17,earn_flight,1378,2091,Bronze,Agent
LOY000279,CUST0039,2024-06-07,earn_flight,1339,3699,Silver,Kiosk
LOY000280,CUST0039,2023-11-20,redeem_upgrade,-434,3265,Silver,Web
LOY000281,CUST0039,2024-10-24,earn_flight,567,3832,Silver,Kiosk
LOY000282,CUST0039,2024-07-23,redeem_voucher,-1016,2816,Silver,Kiosk
LOY000283,CUST0039,2023-11-16,earn_flight,740,3556,Silver,Agent
LOY000284,CUST0039,2024-08-28,tier_upgrade,0,3556,Silver,Kiosk
LOY000285,CUST0039,2023-10-18,earn_flight,274,3830,Silver,App
LOY000286,CUST0039,2024-10-26,earn_flight,1613,5443,Silver,Agent
LOY000287,CUST0039,2023-12-22,earn_bonus,1301,6744,Silver,Agent
LOY000288,CUST0039,2023-12-14,earn_flight,1889,8633,Silver,Kiosk
LOY000289,CUST0039,2023-10-02,tier_upgrade,0,8633,Silver,Agent
LOY000290,CUST0040,2025-01-11,earn_flight,1444,3684,Silver,Kiosk
LOY000291,CUST0040,2024-03-27,redeem_voucher,-917,2767,Silver,Agent
LOY000292,CUST0040,2023-12-06,redeem_upgrade,-1375,1392,Silver,Web
LOY000293,CUST0041,2023-09-06,earn_bonus,1447,4004,Silver,Agent
LOY000294,CUST0041,2023-09-09,earn_flight,1539,5543,Silver,Agent
LOY000295,CUST0041,2024-07-23,earn_flight,471,6014,Silver,Web
LOY000296,CUST0041,2024-09-24,earn_flight,1617,7631,Silver,App
LOY000297,CUST0041,2023-11-12,redeem_upgrade,-640,6991,Silver,Kiosk
LOY000298,CUST0041,2024-10-13,earn_flight,422,7413,Silver,Agent
LOY000299,CUST0041,2024-06-25,redeem_upgrade,-1362,6051,Silver,App
LOY000300,CUST0041,2023-10-03,earn_flight,1645,7696,Silver,App
LOY000301,CUST0041,2023-11-02,earn_flight,1455,9151,Silver,Kiosk
LOY000302,CUST0041,2024-12-20,earn_bonus,948,10099,Silver,Agent
LOY000303,CUST0042,2023-12-05,earn_flight,327,548,Bronze,Agent
LOY000304,CUST0042,2024-12-21,earn_bonus,731,1279,Bronze,App
LOY000305,CUST0042,2024-03-23,earn_flight,1327,2606,Bronze,App
LOY000306,CUST0042,2023-08-18,earn_flight,532,3138,Bronze,Web
LOY000307,CUST0042,2024-04-28,earn_flight,345,3483,Bronze,App
LOY000308,CUST0042,2025-01-01,redeem_upgrade,-559,2924,Bronze,Web
LOY000309,CUST0042,2024-09-03,earn_bonus,571,3495,Bronze,Agent
LOY000310,CUST0042,2023-10-23,earn_flight,1619,5114,Bronze,App
LOY000311,CUST0042,2024-10-30,earn_flight,1986,7100,Bronze,App
LOY000312,CUST0042,2024-06-26,earn_bonus,1274,8374,Bronze,Kiosk
LOY000313,CUST0043,2024-10-11,earn_flight,929,1656,Bronze,App
LOY000314,CUST0043,2024-07-08,earn_flight,1365,3021,Bronze,Kiosk
LOY000315,CUST0043,2024-08-15,earn_flight,1829,4850,Bronze,App
LOY000316,CUST0043,2024-04-16,earn_flight,920,5770,Bronze,App
LOY000317,CUST0043,2024-09-19,redeem_voucher,-895,4875,Bronze,Web
LOY000318,CUST0043,2024-07-17,redeem_upgrade,-356,4519,Bronze,App
LOY000319,CUST0043,2025-01-14,earn_flight,1689,6208,Bronze,Agent
LOY000320,CUST0043,2024-08-04,redeem_upgrade,-502,5706,Bronze,Web
LOY000321,CUST0043,2023-11-24,earn_flight,504,6210,Bronze,Web
LOY000322,CUST0043,2024-01-14,redeem_upgrade,-354,5856,Bronze,Web
LOY000323,CUST0043,2024-12-28,earn_flight,1254,7110,Bronze,Kiosk
LOY000324,CUST0043,2024-07-06,redeem_voucher,-1484,5626,Bronze,Agent
LOY000325,CUST0044,2023-10-19,earn_flight,1393,1548,Bronze,Agent
LOY000326,CUST0044,2024-05-18,earn_bonus,820,2368,Bronze,App
LOY000327,CUST0044,2024-06-23,earn_flight,177,2545,Bronze,App
LOY000328,CUST0044,2024-08-22,redeem_voucher,-357,2188,Bronze,App
LOY000329,CUST0044,2025-01-11,earn_flight,1288,3476,Bronze,App
LOY000330,CUST0044,2024-11-13,redeem_voucher,-1370,2106,Bronze,Web
LOY000331,CUST0044,2024-07-05,earn_bonus,1126,3232,Bronze,Web
LOY000332,CUST0044,2023-10-13,earn_flight,1760,4992,Bronze,Agent
LOY000333,CUST0044,2023-11-05,earn_bonus,453,5445,Bronze,App
LOY000334,CUST0045,2024-11-02,earn_bonus,1348,1602,Bronze,Web
LOY000335,CUST0045,2024-08-17,earn_flight,679,2281,Bronze,Kiosk
LOY000336,CUST0045,2024-10-02,redeem_upgrade,-1424,857,Bronze,App
LOY000337,CUST0045,2024-07-18,earn_flight,293,1150,Bronze,Kiosk
LOY000338,CUST0045,2024-05-27,earn_flight,1844,2994,Bronze,Web
LOY000339,CUST0045,2024-07-17,earn_flight,1459,4453,Bronze,Web
LOY000340,CUST0045,2024-08-03,earn_flight,1443,5896,Bronze,Kiosk
LOY000341,CUST0045,2023-12-21,earn_bonus,273,6169,Bronze,Agent
LOY000342,CUST0045,2024-08-30,earn_bonus,772,6941,Bronze,Web
LOY000343,CUST0046,2024-10-17,earn_bonus,137,3093,Silver,Agent
LOY000344,CUST0046,2024-06-22,earn_flight,538,3631,Silver,Agent
LOY000345,CUST0046,2024-12-20,earn_flight,381,4012,Silver,Web
LOY000346,CUST0047,2023-11-22,earn_bonus,1205,2321,Silver,App
