comp_id,route_id,month,competitor,competitor_avg_price_usd,aci_avg_price_usd,price_gap_usd,aci_cheaper
COMP00095,R006,2025-05,ASKY Airlines,183.31,146.18,-37.13,True
COMP00096,R006,2025-05,Air Senegal,188.3,156.41,-31.89,True
COMP00097,R006,2025-06,ASKY Airlines,167.05,150.11,-16.94,True
COMP00098,R006,2025-06,Air Senegal,169.96,177.25,7.29,False
COMP00099,R006,2025-07,ASKY Airlines,177.41,160.32,-17.09,True
COMP00100,R006,2025-07,Air Senegal,138.38,155.81,17.43,False
COMP00101,R006,2025-08,ASKY Airlines,203.74,159.5,-44.24,True
COMP00102,R006,2025-08,Air Senegal,177.17,156.55,-20.62,True
COMP00103,R006,2025-09,ASKY Airlines,165.22,155.96,-9.26,True
COMP00104,R006,2025-09,Air Senegal,162.11,158.48,-3.63,True
COMP00105,R006,2025-10,ASKY Airlines,133.08,160.77,27.7,False
COMP00106,R006,2025-10,Air Senegal,144.26,164.87,20.61,False
COMP00107,R006,2025-11,ASKY Airlines,139.66,142.72,3.06,False
COMP00108,R006,2025-11,Air Senegal,189.1,177.71,-11.39,True
COMP00109,R007,2025-01,Air Maroc,153.13,156.02,2.89,False
COMP00110,R007,2025-01,Air Senegal,122.49,126.49,3.99,False
COMP00111,R007,2025-01,Air Maroc,174.78,149.51,-25.27,True
COMP00112,R007,2025-01,Air Senegal,144.46,136.73,-7.73,True
COMP00113,R007,2025-03,Air Maroc,153.3,136.72,-16.58,True
COMP00114,R007,2025-03,Air Senegal,170.45,142.05,-28.4,True
COMP00115,R007,2025-04,Air Maroc,131.49,163.4,31.91,False
COMP00116,R007,2025-04,Air Senegal,161.47,154.23,-7.24,True
COMP00117,R007,2025-05,Air Maroc,164.48,141.26,-23.21,True
COMP00118,R007,2025-05,Air Senegal,177.68,161.72,-15.95,True
COMP00119,R007,2025-05,Air Maroc,178.59,134.91,-43.68,True
COMP00120,R007,2025-05,Air Senegal,164.4,131.78,-32.63,True
COMP00121,R007,2025-06,Air Maroc,157.15,165.59,8.44,False
COMP00122,R007,2025-06,Air Senegal,175.03,152.14,-22.89,True
COMP00123,R007,2025-07,Air Maroc,125.3,152.55,27.25,False
COMP00124,R007,2025-07,Air Senegal,154.34,139.09,-15.25,True
COMP00125,R007,2025-08,Air Maroc,149.4,159.94,10.54,False
COMP00126,R007,2025-08,Air Senegal,168.52,129.92,-38.59,True
COMP00127,R007,2025-09,Air Maroc,179.39,145.59,-33.79,True
COMP00128,R007,2025-09,Air Senegal,177.52,138.16,-39.36,True
COMP00129,R007,2025-10,Air Maroc,125.95,152.37,26.42,False
COMP00130,R007,2025-10,Air Senegal,167.46,154.98,-12.48,True
COMP00131,R007,2025-11,Air Maroc,160.05,164.4,4.35,False
COMP00132,R007,2025-11,Air Senegal,119.01,158.05,39.04,False
COMP00133,R008,2025-01,Air France,179.96,159.31,-20.64,True
COMP00134,R008,2025-01,Brussels Airlines,193.9,153.77,-40.13,True
COMP00135,R008,2025-01,Turkish Airlines,183.66,140.1,-43.57,True
COMP00136,R008,2025-01,Air France,195.32,167.21,-28.11,True
COMP00137,R008,2025-01,Brussels Airlines,132.47,173.16,40.69,False
COMP00138,R008,2025-01,Turkish Airlines,171.54,147.74,-23.8,True
COMP00139,R008,2025-03,Air France,131.9,150.52,18.63,False
COMP00140,R008,2025-03,Brussels Airlines,192.65,153.16,-39.49,True
COMP00141,R008,2025-03,Turkish Airlines,182.03,163.08,-18.95,True
COMP00142,R008,2025-04,Air France,183.33,161.22,-22.11,True
COMP00143,R008,2025-04,Brussels Airlines,145.74,142.15,-3.59,True
COMP00144,R008,2025-04,Turkish Airlines,143.59,164.66,21.07,False
COMP00145,R008,2025-05,Air France,179.57,181.74,2.17,False
COMP00146,R008,2025-05,Brussels Airlines,140.25,156.69,16.44,False
COMP00147,R008,2025-05,Turkish Airlines,149.26,165.16,15.89,False
COMP00148,R008,2025-05,Air France,136.32,152.91,16.58,False
COMP00149,R008,2025-05,Brussels Airlines,184.36,153.03,-31.33,True
COMP00150,R008,2025-05,Turkish Airlines,192.75,148.51,-44.24,True
COMP00151,R008,2025-06,Air France,127.01,140.37,13.36,False
COMP00152,R008,2025-06,Brussels Airlines,161.57,172.0,10.43,False
COMP00153,R008,2025-06,Turkish Airlines,191.2,175.7,-15.51,True
COMP00154,R008,2025-07,Air France,136.25,151.49,15.24,False
COMP00155,R008,2025-07,Brussels Airlines,134.16,179.1,44.94,False
COMP00156,R008,2025-07,Turkish Airlines,173.88,181.25,7.37,False
COMP00157,R008,2025-08,Air France,135.63,142.04,6.4,False
COMP00158,R008,2025-08,Brussels Airlines,170.41,174.53,4.12,False
COMP00159,R008,2025-08,Turkish Airlines,166.4,139.93,-26.47,True
COMP00160,R008,2025-09,Air France,194.87,156.36,-38.52,True
COMP00161,R008,2025-09,Brussels Airlines,143.17,155.61,12.43,False
COMP00162,R008,2025-09,Turkish Airlines,181.15,139.91,-41.24,True
COMP00163,R008,2025-10,Air France,158.73,148.48,-10.25,True
COMP00164,R008,2025-10,Brussels Airlines,149.62,138.98,-10.64,True
COMP00165,R008,2025-10,Turkish Airlines,121.47,141.57,20.1,False
COMP00166,R008,2025-11,Air France,171.87,138.7,-33.17,True
COMP00167,R008,2025-11,Brussels Airlines,138.56,146.78,8.22,False
COMP00168,R008,2025-11,Turkish Airlines,123.99,147.88,23.89,False
COMP00169,R009,2025-01,Air France,478.42,499.4,20.98,False
COMP00170,R009,2025-01,Air Algérie,484.8,511.59,26.79,False
COMP00171,R009,2025-01,Air France,481.55,549.11,67.57,False
COMP00172,R009,2025-01,Air Algérie,675.48,569.39,-106.09,True
COMP00173,R009,2025-03,Air France,508.67,550.09,41.42,False
COMP00174,R009,2025-03,Air Algérie,439.12,637.51,198.39,False
COMP00175,R009,2025-04,Air France,707.55,580.44,-127.11,True
COMP00176,R009,2025-04,Air Algérie,563.22,595.5,32.28,False
COMP00177,R009,2025-05,Air France,580.34,501.27,-79.07,True
COMP00178,R009,2025-05,Air Algérie,533.13,614.94,81.81,False
COMP00179,R009,2025-05,Air France,531.98,608.97,76.99,False
COMP00180,R009,2025-05,Air Algérie,611.79,565.13,-46.66,True
COMP00181,R009,2025-06,Air France,444.65,600.21,155.56,False
COMP00182,R009,2025-06,Air Algérie,698.2,553.69,-144.51,True
COMP00183,R009,2025-07,Air France,437.87,567.83,129.96,False
COMP00184,R009,2025-07,Air Algérie,666.14,575.77,-90.37,True
COMP00185,R009,2025-08,Air France,440.01,550.07,110.06,False
COMP00186,R009,2025-08,Air Algérie,568.29,533.89,-34.4,True
COMP00187,R009,2025-09,Air France,489.15,621.49,132.34,False
COMP00188,R009,2025-09,Air Algérie,660.9,521.34,-139.56,True
COMP00189,R009,2025-10,Air France,665.97,510.38,-155.59,True
COMP00190,R009,2025-10,Air Algérie,652.02,594.3,-57.72,True
COMP00191,R009,2025-11,Air France,547.95,526.54,-21.41,True
COMP00192,R009,2025-11,Air Algérie,593.23,533.67,-59.56,True
COMP00193,R010,2025-01,Qatar Airways,93.76,106.75,12.99,False
COMP00194,R010,2025-01,Emirates,133.27,129.98,-3.29,True
COMP00195,R010,2025-01,Qatar Airways,133.09,112.14,-20.94,True
COMP00196,R010,2025-01,Emirates,147.12,117.86,-29.25,True
COMP00197,R010,2025-03,Qatar Airways,126.22,132.84,6.62,False
COMP00198,R010,2025-03,Emirates,135.38,139.03,3.65,False
COMP00199,R010,2025-04,Qatar Airways,130.86,131.18,0.32,False
COMP00200,R010,2025-04,Emirates,99.47,112.1,12.63,False
COMP00201,R010,2025-05,Qatar Airways,152.38,133.51,-18.88,True
COMP00202,R010,2025-05,Emirates,127.87,129.51,1.64,False
COMP00203,R010,2025-05,Qatar Airways,99.03,128.69,29.66,False
COMP00204,R010,2025-05,Emirates,144.17,106.23,-37.94,True
COMP00205,R010,2025-06,Qatar Airways,97.59,124.15,26.56,False
COMP00206,R010,2025-06,Emirates,124.73,118.23,-6.5,True
COMP00207,R010,2025-07,Qatar Airways,119.84,124.91,5.08,False
COMP00208,R010,2025-07,Emirates,108.41,104.09,-4.32,True
COMP00209,R010,2025-08,Qatar Airways,111.76,108.01,-3.75,True
COMP00210,R010,2025-08,Emirates,128.0,112.73,-15.27,True
COMP00211,R010,2025-09,Qatar Airways,115.78,127.04,11.26,False
COMP00212,R010,2025-09,Emirates,144.85,108.77,-36.08,True
COMP00213,R010,2025-10,Qatar Airways,115.99,138.57,22.57,False
COMP00214,R010,2025-10,Emirates,102.13,103.83,1.7,False
COMP00215,R010,2025-11,Qatar Airways,136.33,119.2,-17.14,True
COMP00216,R010,2025-11,Emirates,125.07,131.4,6.32,False
COMP00217,R011,2025-01,Ethiopian Airlines,160.55,172.52,11.97,False
COMP00218,R011,2025-01,Kenya Airways,129.9,160.46,30.56,False
COMP00219,R011,2025-01,Ethiopian Airlines,208.81,190.83,-17.99,True
COMP00220,R011,2025-01,Kenya Airways,195.45,158.17,-37.29,True
COMP00221,R011,2025-03,Ethiopian Airlines,148.85,165.19,16.34,False
COMP00222,R011,2025-03,Kenya Airways,154.63,172.18,17.55,False
COMP00223,R011,2025-04,Ethiopian Airlines,182.45,181.41,-1.04,True
COMP00224,R011,2025-04,Kenya Airways,164.11,150.47,-13.64,True
COMP00225,R011,2025-05,Ethiopian Airlines,205.14,169.35,-35.79,True
COMP00226,R011,2025-05,Kenya Airways,136.26,163.04,26.77,False
COMP00227,R011,2025-05,Ethiopian Airlines,207.97,162.27,-45.7,True
COMP00228,R011,2025-05,Kenya Airways,147.72,165.67,17.95,False
COMP00229,R011,2025-06,Ethiopian Airlines,158.68,181.82,23.13,False
COMP00230,R011,2025-06,Kenya Airways,143.01,147.54,4.53,False
COMP00231,R011,2025-07,Ethiopian Airlines,133.05,150.4,17.36,False
COMP00232,R011,2025-07,Kenya Airways,136.6,187.88,51.28,False
COMP00233,R011,2025-08,Ethiopian Airlines,150.03,193.2,43.17,False
COMP00234,R011,2025-08,Kenya Airways,157.42,150.68,-6.74,True
COMP00235,R011,2025-09,Ethiopian Airlines,183.59,172.68,-10.91,True
COMP00236,R011,2025-09,Kenya Airways,177.7,182.66,4.96,False
COMP00237,R011,2025-10,Ethiopian Airlines,147.97,146.82,-1.15,True
COMP00238,R011,2025-10,Kenya Airways,203.16,187.89,-15.27,True
COMP00239,R011,2025-11,Ethiopian Airlines,171.38,169.62,-1.76,True
COMP00240,R011,2025-11,Kenya Airways,202.7,171.64,-31.07,True
COMP00241,R012,2025-01,Air France,137.92,172.74,34.83,False
COMP00242,R012,2025-01,Corsair,163.03,155.44,-7.59,True
COMP00243,R012,2025-01,Air France,195.05,182.93,-12.12,True
COMP00244,R012,2025-01,Corsair,132.81,153.39,20.58,False
COMP00245,R012,2025-03,Air France,179.19,183.05,3.86,False
COMP00246,R012,2025-03,Corsair,129.85,138.79,8.94,False
COMP00247,R012,2025-04,Air France,166.33,157.73,-8.6,True
COMP00248,R012,2025-04,Corsair,173.97,149.89,-24.08,True
COMP00249,R012,2025-05,Air France,148.39,165.7,17.31,False
COMP00250,R012,2025-05,Corsair,153.64,150.24,-3.4,True
COMP00251,R012,2025-05,Air France,183.87,151.21,-32.66,True
COMP00252,R012,2025-05,Corsair,190.12,160.73,-29.39,True
COMP00253,R012,2025-06,Air France,192.8,160.92,-31.88,True
COMP00254,R012,2025-06,Corsair,127.19,159.85,32.66,False
COMP00255,R012,2025-07,Air France,140.54,157.51,16.97,False
COMP00256,R012,2025-07,Corsair,200.01,154.42,-45.59,True
COMP00257,R012,2025-08,Air France,198.14,179.76,-18.38,True
COMP00258,R012,2025-08,Corsair,159.34,177.62,18.29,False
COMP00259,R012,2025-09,Air France,190.88,169.6,-21.27,True
COMP00260,R012,2025-09,Corsair,174.33,179.76,5.43,False
COMP00261,R012,2025-10,Air France,141.51,161.65,20.14,False
COMP00262,R012,2025-10,Corsair,136.68,149.68,13.0,False
COMP00263,R012,2025-11,Air France,156.5,166.92,10.42,False
COMP00264,R012,2025-11,Corsair,181.36,179.07,-2.29,True
